Deputado;Mes;Tipo;Valor;Nome_Mes;Tipo_Abreviado
AGENTE FEDERAL DANILO BALAS;1;A - COMBUSTÍVEIS E LUBRIFICANTES;250.02;Jan;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;1;A - COMBUSTÍVEIS E LUBRIFICANTES;219.94;Jan;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;1;A - COMBUSTÍVEIS E LUBRIFICANTES;95.01;Jan;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;1;A - COMBUSTÍVEIS E LUBRIFICANTES;70.0;Jan;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;1;D - MATERIAIS E SERVIÇOS GRÁFICOS, DE CÓPIAS E REPRODUÇÃO DE DOCS;9200.0;Jan;MAT. SERV. GRAFICOS
AGENTE FEDERAL DANILO BALAS;1;E - MATERIAIS DE ESCRITÓRIO E OUTROS MATERIAIS DE CONSUMO;32.0;Jan;MAT. ESCRITORIO E OUTROS
AGENTE FEDERAL DANILO BALAS;1;F - SERVIÇOS TÉCNICOS PROFISSIONAIS (CONSULTORIA, PESQUISAS ETC);2800.0;Jan;CONSULTORIA/PESQUISA ETC
AGENTE FEDERAL DANILO BALAS;1;F - SERVIÇOS TÉCNICOS PROFISSIONAIS (CONSULTORIA, PESQUISAS ETC);5200.0;Jan;CONSULTORIA/PESQUISA ETC
AGENTE FEDERAL DANILO BALAS;1;G - ASSINATURAS DE PERIÓDICOS, PUBLICAÇÕES, INTERNET E SOFTWARES;229.97;Jan;PUBLIC/INTERNET/SOFTWARE
AGENTE FEDERAL DANILO BALAS;1;G - ASSINATURAS DE PERIÓDICOS, PUBLICAÇÕES, INTERNET E SOFTWARES;180.56;Jan;PUBLIC/INTERNET/SOFTWARE
AGENTE FEDERAL DANILO BALAS;1;H - SERV.UTIL.PÚBLICA (TELEF.MÓVEL/FIXA, ENERGIA, ÁGUA, GÁS ETC);90.0;Jan;TELEF/MOVEL/FIXA, ENERGIA, ÁGUA...
AGENTE FEDERAL DANILO BALAS;1;H - SERV.UTIL.PÚBLICA (TELEF.MÓVEL/FIXA, ENERGIA, ÁGUA, GÁS ETC);91.28;Jan;TELEF/MOVEL/FIXA, ENERGIA, ÁGUA...
AGENTE FEDERAL DANILO BALAS;1;H - SERV.UTIL.PÚBLICA (TELEF.MÓVEL/FIXA, ENERGIA, ÁGUA, GÁS ETC);230.11;Jan;TELEF/MOVEL/FIXA, ENERGIA, ÁGUA...
AGENTE FEDERAL DANILO BALAS;1;I - HOSPEDAGEM, ALIMENTAÇÃO E DESPESAS DE LOCOMOÇÃO;194.0;Jan;HOSPEDAGEM/ALIMENTACAO
AGENTE FEDERAL DANILO BALAS;1;I - HOSPEDAGEM, ALIMENTAÇÃO E DESPESAS DE LOCOMOÇÃO;32.9;Jan;HOSPEDAGEM/ALIMENTACAO
AGENTE FEDERAL DANILO BALAS;1;I - HOSPEDAGEM, ALIMENTAÇÃO E DESPESAS DE LOCOMOÇÃO;245.3;Jan;HOSPEDAGEM/ALIMENTACAO
AGENTE FEDERAL DANILO BALAS;1;I - HOSPEDAGEM, ALIMENTAÇÃO E DESPESAS DE LOCOMOÇÃO;48.5;Jan;HOSPEDAGEM/ALIMENTACAO
AGENTE FEDERAL DANILO BALAS;1;I - HOSPEDAGEM, ALIMENTAÇÃO E DESPESAS DE LOCOMOÇÃO;150.0;Jan;HOSPEDAGEM/ALIMENTACAO
AGENTE FEDERAL DANILO BALAS;1;I - HOSPEDAGEM, ALIMENTAÇÃO E DESPESAS DE LOCOMOÇÃO;48.4;Jan;HOSPEDAGEM/ALIMENTACAO
AGENTE FEDERAL DANILO BALAS;1;K - LOCAÇÃO DE BENS MÓVEIS;360.0;Jan;LOC. MOVEIS
AGENTE FEDERAL DANILO BALAS;1;K - LOCAÇÃO DE BENS MÓVEIS;500.0;Jan;LOC. MOVEIS
AGENTE FEDERAL DANILO BALAS;1;K - LOCAÇÃO DE BENS MÓVEIS;5800.0;Jan;LOC. MOVEIS
AGENTE FEDERAL DANILO BALAS;1;L - LOCAÇÃO DE BENS IMÓVEIS;2500.0;Jan;LOC. IMOVEIS
AGENTE FEDERAL DANILO BALAS;1;L - LOCAÇÃO DE BENS IMÓVEIS;2500.0;Jan;LOC. IMOVEIS
AGENTE FEDERAL DANILO BALAS;1;M - MANUTENÇÃO DE BENS MÓVEIS, IMÓVEIS, CONDOMÍNIOS E OUTROS;1594.0;Jan;MANUT: MOVEIS/IMOVEIS/OUTROS
AGENTE FEDERAL DANILO BALAS;1;M - MANUTENÇÃO DE BENS MÓVEIS, IMÓVEIS, CONDOMÍNIOS E OUTROS;504.63;Jan;MANUT: MOVEIS/IMOVEIS/OUTROS
AGENTE FEDERAL DANILO BALAS;1;N - MORADIA;3426.0;Jan;MORADIA
AGENTE FEDERAL DANILO BALAS;1;O - LOCAÇÃO DE VEÍCULO;5203.22;Jan;LOC. VEICULO
AGENTE FEDERAL DANILO BALAS;2;A - COMBUSTÍVEIS E LUBRIFICANTES;109.72;Fev;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;2;A - COMBUSTÍVEIS E LUBRIFICANTES;110.05;Fev;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;2;A - COMBUSTÍVEIS E LUBRIFICANTES;549.29;Fev;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;2;A - COMBUSTÍVEIS E LUBRIFICANTES;300.0;Fev;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;2;A - COMBUSTÍVEIS E LUBRIFICANTES;289.56;Fev;COMBUSTIVEIS
AGENTE FEDERAL DANILO BALAS;2;A - COMBUSTÍVEIS E LUBRIFICANTES;126.07;Fev;COMBUSTIVEIS
